コード,略称,名称,名称,カタカナ,郵便番号,住所1,住所2,TEL,FAX,携帯,社員ID,社員氏名,アシスタントID,アシスタント氏名,適格事業者登録番号,免税事業者,事業所ID,事業所名,部署コード,部署名,得意先,一般仕入,外注仕入,得意先締日,支払サイクル,支払日,回収区分,基準金額,以上回収条件,以上手形サイト,以上回収方法,未満回収条件,未満手形サイト,未満回収方法,諸口売り,消費税算出区分,インボイス,消費税端数処理,金額端数処理,送り状単価印字,与信限度額,月間取引限度額,請求書発行優先,納品書発行優先,納品書書式,受注用FAX番号,ミルシート送付方法,相殺仕入先,請求書送付先,納品書送付先,領収書送付先,与信額登録先,ミルシート送付先,比重区分,重量計算区分,納品区分,納品号車,代表者氏名,代表者住所,業種1,業種2,業種3,取扱品目,創立年月日,資本金,従業員数,平均月商,粗利益率,決算売上額,納品締切日,取引銀行1,取引銀行2,取引銀行3,主要仕入先1,主要仕入先2,主要仕入先3,主要販売先1,主要販売先2,主要販売先3,仕入先締め日,支払サイクル2,支払日,基準金額,以上支払条件,以上手形サイト,未満支払条件,未満支払条件,附帯条件,消費税算出区分,消費税端数処理,金額端数処理,発注書FAX処理,発注書FAX送信番号,発注書担当者名,仕入納品区分,仕入号車,納品先,受注不可,使用不可,発注書形式,緯度,経度,登録日
11008,暁精機,暁精機,,ｱｶﾂｷｾｲｷ,577-0045,大阪府東大阪市西堤本通東3-3-34,,06-6788-2401,06-6788-9563,,66,滝井,41,滝井みちる,,,1,本社,101,(大阪)営業１Ｇ,-1,,-1,31,翌月,20,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,1000,,発行:郵送,通常,納品書,,,11008,11008,11008,11008,11008,,通常,通常,67,17,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,20,\0,振込,,,0,,請求書,四捨五入,四捨五入,自動送信しない,,,67,17,[320011 川合製作所 滋賀発→大阪 17号車] [320034 福田鉄工所 滋賀発→大阪 17号車] [320044 ㈲岡村鉄工所 滋賀発→大阪 17号車] [320047 川角工業 滋賀発→大阪 17号車] [320098 TOMO精工 滋賀発→大阪 17号車] ,-1,0,B5,34.676147,135.579819,05/01/01
11009,旭機工㈱,旭機工㈱,,ｱｻﾋｷｺｳ,555-0024,大阪府大阪市西淀川区野里2-11-16-101,,06-6478-5326,06-6478-5329,,48,佐々木久美子,0,*,,,1,本社,101,(大阪)営業１Ｇ,-1,,,31,翌月,31,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,PDF,PDF,納品書,,,,11009,11009,11009,11009,,通常,通常,67,15,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,[312201 ㈱有明システム　尼崎工場 滋賀発→大阪 15号車] ,0,0,,34.710167,135.460236,05/01/01
1101,㈱相川バルブ製作所,㈱相川バルブ製作所,,ｱｲｶﾜﾊﾞﾙﾌﾞｾｲｻｸｼｮ,522-0046,滋賀県彦根市甘呂町465-5,,0749-28-2314,0749-25-2865,,86,安居享子,15,吉川千晶,,,2,滋賀,201,(滋賀)営業２Ｇ,-1,,,20,翌月,10,以上/未満,\100,受取手形(発行),160,集金(滋賀),小切手,,集金(滋賀),あり,請求書,-1,四捨五入,四捨五入,印字しない,,,PDF,PDF,納品書,,,,1101,1101,1101,1101,,通常,通常,86,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,35.246944,136.225922,05/01/01
11010,粟村打抜金網㈱,粟村打抜金網㈱,,ｱﾜﾑﾗｳﾁﾇｷｶﾅｱﾐ,532-0033,大阪府大阪市淀川区新高6-14-46,,06-6391-6631,06-6391-6633,,75,池村友宏,58,南　智子,T9120001053745,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,31,翌月,31,以上/未満,\100,受取手形(発行),120,送金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,25000,,PDF,PDF,納品書,0663916633,Ｅメール,11010,11010,11010,11010,11010,,通常,通常,71,16,粟村卓家,池田市満寿美町8-5-507,鉄鋼業,,,パンチングメタル,1958/12,"\15,000",24,"\33,000",\0,"\407,600",,りそな　堂島,,,リンタツ,,,安藤スクリーン,,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,明細,四捨五入,四捨五入,自動送信しない,,,71,16,[313082 中本鉄工所 宵積本社経由 16号車] [313236 粟村打抜金網㈱九州工場 西濃元払 ] [375245 大和紡績㈱　美川工場 北陸方面 ] ,0,0,B5,34.732845,135.473862,05/01/01
11011,朝日工業所　河間正,朝日工業所　河間正,,ｱｻﾋｺｳｷﾞｮｳｼｮ,578-0903,大阪府東大阪市今米2-4-12,,0729-64-3282,0729-64-3282,,75,池村友宏,53,中尾真梨子,,,1,本社,101,(大阪)営業１Ｇ,-1,,,20,翌月,20,一律条件,\0,小切手,,集金(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,1000,,発行:郵送,通常,納品書,,,,11011,11011,11011,11011,,通常,通常,67,17,河間正,,製缶,溶接,,,,\0,1,"\1,500",\0,"\17,000",,阪奈信金　中野,,,,,,㈱ホーライ,㈱杉本試験機製作所,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.685226,135.62735,05/01/01
11012,㈲旭製作所,㈲旭製作所,,ｱｻﾋｾｲｻｸｼｮ,553-0003,大阪府大阪市福島区福島3-13-3,,06-6474-8240,06-6474-8054,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,翌月,15,一律条件,\0,小切手,,集金(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11012,11012,11012,11012,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.694454,135.48558,05/01/01
11013,㈱旭電機製作所,㈱旭電機製作所,,ｱｻﾋﾃﾞﾝｷｾｲｻｸｼｮ,535-0031,大阪府大阪市旭区高殿3-15-18,,06-6953-3333,06-6953-3210,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,翌月,15,以上/未満,\100,その他,,集金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11013,11013,11013,11013,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.715023,135.538452,05/01/01
11014,アクトファイブ㈱,アクトファイブ㈱,,ｱｸﾄﾌｧｲﾌﾞ,612-8252,京都府京都市伏見区横大路一本木40,,075-611-5538,075-611-5307,,43,内田悠也,62,古谷紗代,,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,31,翌月,31,以上/未満,\100,受取手形(発行),125,送金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,50000,,PDF,PDF,納品書,,,11014,11014,11014,11014,11014,,通常,通常,1,1,石井邦男,京都市伏見区下鳥羽柳長町64-11,工業用洗浄機の製造,工業用洗浄機の販売,,工業用部品洗浄機,1988/6,"\10,000",35,"\120,000",\25,"\14,000",,京都銀行　下鳥羽支店,,,関西機械工業㈱,三光機工㈱,,伊藤忠メカトロニクス㈱,岩谷産業㈱,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,請求書,四捨五入,四捨五入,自動送信しない,,,"9,000",,[11129 厚板プレス工業㈱ 滋賀発→大阪 14号車] [308001 宝梱包 気付 ｱｸﾄﾌｧｲﾌﾞ 京都便 1号車] [308227 ㈲西川鉄工 京都便 1号車] [308228 ㈱ヨドワーク 京都便 1号車] [308229 山川製作所 京都便 1号車] [308230 川並鉄工㈱ 京都便 1号車] [308231 アクトファイブ㈱　槇 京都便 1号車] [343023 宝梱包㈱ｺﾝﾃﾅｾﾝﾀｰ 京都便 1号車] [371004 ㈱ザナテック 京都便 1号車] [371013 赤間研磨 滋賀発→大阪 15号車] ,0,0,B5,34.920166,135.73349,05/06/01
11015,旭精密工業㈱,旭精密工業㈱,,ｱｻﾋｾｲﾐﾂｺｳｷﾞｮｳ,572-0074,大阪府寝屋川市池田中町21-1,,072-829-3304,072-829-3384,,48,佐々木久美子,0,*,,,1,本社,101,(大阪)営業１Ｇ,-1,,,25,翌月,31,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,500,,発行:郵送,通常,納品書,,,,11015,11015,11015,11015,,通常,通常,67,11,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.778629,135.615204,05/01/01
11016,㈱赤尾商店,㈱赤尾商店,,ｱｶｵｼｮｳﾃﾝ,615-0034,京都府京都市右京区西院西寿町20-2,,075-311-8831,075-314-7478,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,当月,20,一律条件,\0,その他,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11016,11016,11016,11016,,通常,通常,1,1,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.998184,135.728882,05/01/01
11017,㈱ASAHI,㈱ASAHI,,ｱｻﾋ,534-0001,大阪府大阪市都島区毛馬町4-14-9,,06-6922-4231,06-6922-4233,,24,佐久田朝仁,58,南　智子,,,1,本社,101,(大阪)営業１Ｇ,-1,,,31,翌月,31,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,06-6922-4233,,,11017,11017,11017,11017,,通常,通常,2,16,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.724968,135.521576,05/01/01
11018,㈱ア－チ,㈱ア－チ,,ｱｰﾁ,578-0903,大阪府東大阪市今米1-8-18,,0729-61-5266,0729-61-5268,,24,佐久田朝仁,58,南　智子,,,1,本社,101,(大阪)営業１Ｇ,-1,,,31,翌月,31,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,300,,PDF,PDF,納品書,,,,11018,11018,11018,11018,,通常,通常,67,17,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,[312094 ㈱YOSHIDA 滋賀発→大阪 11号車] [312125 日本精線㈱ 滋賀発→大阪 17号車] [320099 東大阪都市清掃施設組合 滋賀発→大阪 17号車] [324090 東大阪都市清掃施設組合 滋賀発→大阪 17号車] ,0,0,,34.682953,135.628082,05/01/01
11019,アラヤ特殊金属㈱　丸,アラヤ特殊金属㈱　丸棒切断,,ｱﾗﾔﾄｸｼｭｷﾝｿﾞｸ ﾏﾙﾎﾞｳｾﾂ,542-0081,大阪府大阪市中央区南船場2-12-12,新家ビル6F,06-6251-9801,06-6251-9800,,75,池村友宏,53,中尾真梨子,,,1,本社,101,(大阪)営業１Ｇ,-1,,,31,翌月,25,一律条件,\0,相殺,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,PDF,PDF,納品書,,,11022,11019,11019,11019,11019,,通常,通常,2,16,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.677509,135.514786,05/01/01
1102,ｱｲﾊﾞ製作所　饗庭秀三,アイバ製作所　饗庭秀三,,ｱｲﾊﾞｾｲｻｸｼｮ,522-0041,滋賀県彦根市平田町字清草540-10,,0749-23-5396,0749-24-5611,,86,安居享子,15,吉川千晶,,,2,滋賀,201,(滋賀)営業２Ｇ,-1,,-1,20,翌月,20,一律条件,\0,相殺,,その他,,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,1102,1102,1102,1102,1102,,通常,通常,86,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,20,\0,振込,,,0,,請求書,切捨,四捨五入,自動送信しない,,,86,,,0,0,B5(指定),35.259987,136.237823,05/01/01
11020,アカイ産業　赤井誠一,アカイ産業　赤井誠一,,ｱｶｲｻﾝｷﾞｮｳ ｱｶｲｾｲｲﾁ,550-0025,大阪府大阪市西区九条南4-8-16,グランハイムE-101号,06-4393-3255,06-4393-3256,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,翌月,20,一律条件,\0,その他,,その他,,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11020,11020,11020,11020,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,-1,-1,,34.508923,135.480484,05/01/01
11021,アキラ機械製作所　林,アキラ機械製作所　林谷一郎,,ｱｷﾗｷｶｲｾｲｻｸｼｮ,575-0052,大阪府四條畷市中野35,,072-876-8379,072-876-7311,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,20,翌月,10,以上/未満,\100,受取手形(発行),125,送金(本社),小切手,,送金(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,500,,発行:郵送,通常,納品書,,,,11021,11021,11021,11021,,通常,通常,2,16,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,-1,-1,,34.743206,135.644257,05/01/01
11022,アラヤ特殊金属㈱,アラヤ特殊金属㈱,,ｱﾗﾔﾄｸｼｭｷﾝｿﾞｸ,542-0081,大阪府大阪市中央区南船場2-12-12,新家ビル6F,06-6251-9801,06-6251-9800,,75,池村友宏,53,中尾真梨子,T7120001074074,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,31,翌月,25,以上/未満,\100,受取手形(発行),,集金(本社),振込,,振込(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,,,PDF,PDF,納品書,,,11022,11022,11022,11022,11022,,通常,通常,2,16,小川　隆嗣,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,25,\100,支払手形(池田),125,振込,27,,明細,四捨五入,切捨,する,0662519800,,"9,000",,,0,0,B5,34.677509,135.514786,05/01/01
11023,㈱東,㈱東,,ｱｽﾞﾏ,552-0001,大阪府大阪市港区波除1-5-29,,06-6582-6106,06-6582-1401,,77,横田正勝,48,佐々木久美子,T1120002015776,,1,本社,101,(大阪)営業１Ｇ,-1,,-1,20,翌月,10,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,10000,,PDF,PDF,納品書,06-6582-1401,Ｅメール,11023,11023,11023,11023,11023,,JIS,通常,67,19,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,25,\0,振込,,,0,,請求書,切捨,四捨五入,自動送信しない,0665821401,,67,19,[366068 ㈱山本金属製作所 滋賀発→大阪 11号車] ,0,0,B5(指定),34.674789,135.463318,05/01/01
11024,アサヒ工業㈱,アサヒ工業㈱,,ｱｻﾋｺｳｷﾞｮｳ,573-0102,大阪府枚方市長尾家具町3-1-12,,072-855-3255,072-867-1450,,54,柴坂仁志,0,*,,,1,本社,111,総務統括Ｇ,-1,,,31,翌月,31,一律条件,\0,その他,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,,11024,11024,11024,11024,,通常,通常,0,,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.839256,135.710083,05/01/01
11025,㈱メタルワン特殊鋼,㈱メタルワン特殊鋼,,ﾒﾀﾙﾜﾝﾄｸｼｭｺｳ,530-0005,大阪府大阪市北区中之島2-2-7,中之島セントラルタワー10F,06-7711-6074,06-7711-1343,,75,池村友宏,53,中尾真梨子,T2120001073510,,1,本社,101,(大阪)営業１Ｇ,-1,-1,,20,翌月,11,一律条件,\0,受取手形(発行),,送金(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,,,発行:郵送,通常,納品書,,,M,11025,11025,11025,11025,,通常,通常,0,,奥山　浩二,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,翌月,25,\100,支払手形(りそな),125,振込,27,,明細,四捨五入,四捨五入,自動送信しない,662715610,,"9,000",,[311024 ㈱ﾒﾀﾙﾜﾝ特殊鋼兵庫支 未定 ] [375132 ㈱ﾒﾀﾙﾜﾝ特殊鋼 関西加 丸常元払 ] ,0,0,B5,34.693813,135.498291,05/01/01
11026,㈱天野商会,㈱天野商会,,ｱﾏﾉｼｮｳｶｲ,533-0014,大阪府大阪市東淀川区豊新4-7-4,,06-6328-1605,06-6328-1643,,24,佐久田朝仁,58,南　智子,,,1,本社,101,(大阪)営業１Ｇ,-1,,,20,翌月,11,以上/未満,\100,受取手形(発行),120,集金(本社),小切手,,集金(本社),あり,請求書,-1,四捨五入,四捨五入,印字しない,5000,,発行:郵送,通常,納品書,06-6328-1643,,,11026,11026,11026,11026,,通常,通常,67,18,天野　竜太郎,,鉄鉱建材製品の卸販売,,,雨戸・ルーフィング,1963/1,"\10,000",16,"\60,000",\0,"\730,000",,池田銀行　上新庄支店,三井住友銀行　天六支店,　,㈱佐渡島,片山鉄建㈱,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,,,[72048 ㈲水野工業所 滋賀発→大阪 18号車] ,0,0,,34.744022,135.535614,05/06/01
11027,アサミ電機㈱,アサミ電機㈱,,ｱｻﾐﾃﾞﾝｷ,544-0005,大阪府大阪市生野区中川4-10-13,,06-6752-5446,06-6758-7160,,101,中西Ｇ,0,*,,,1,本社,105,営業開発,-1,,,20,翌月,20,一律条件,\0,振込,,振込(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,300,,発行:郵送,通常,納品書,,,,11027,11027,11027,11027,,通常,通常,67,17,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,0,,,0,0,,34.657616,135.543182,05/01/01
11028,アート技研㈱,アート技研㈱,,ｱｰﾄｷﾞｹﾝ,566-0055,大阪府摂津市新在家2-13-5,,06-6340-5262,06-6340-0385,,24,佐久田朝仁,52,河合薫子,,,1,本社,101,(大阪)営業１Ｇ,-1,,,20,翌月,20,一律条件,\0,受取手形(裏書),,送金(本社),,,,あり,請求書,-1,四捨五入,四捨五入,印字しない,300,,PDF,PDF,納品書,,,,11028,11028,11028,11028,,通常,通常,67,18,,,,,,,,\0,0,\0,\0,\0,,,,,,,,,,,31,当月,31,,,,,0,,明細,四捨五入,四捨五入,自動送信しない,,,,,,0,0,,34.77132,135.56958,05/01/01
